transaction_id,user_id,product_id,rating,quantity,total_price,timestamp
1,162,163,1,1,485.67,2026-03-12 03:02:48
2,792,12,2,3,766.23,2025-06-14 15:27:04
3,492,208,3,4,1678.88,2025-11-23 20:15:21
4,60,145,5,1,50.33,2026-01-21 17:14:31
5,520,79,3,2,149.68,2026-03-03 03:39:59
6,562,199,3,1,341.43,2024-09-21 06:57:54
7,960,181,4,2,875.96,2026-03-16 03:58:26
8,899,46,1,2,157.18,2025-08-21 15:43:45
9,206,273,4,4,1546.56,2025-07-27 14:12:34
10,740,9,1,4,858.72,2026-01-16 21:27:12
11,831,214,5,1,33.63,2024-11-24 11:44:26
12,386,72,3,4,691.76,2026-05-05 10:53:47
13,717,209,5,2,611.66,2024-10-16 23:16:25
14,990,95,3,1,390.98,2024-10-24 07:51:48
15,729,289,4,2,827.66,2025-05-24 19:55:54
16,425,267,3,4,1683.44,2026-03-08 12:00:51
17,553,76,1,2,988.84,2025-05-30 12:11:50
18,672,80,4,4,600.44,2024-08-27 17:30:44
19,673,202,2,4,1185.32,2024-11-16 16:39:46
20,865,2,1,1,362.52,2026-03-05 13:33:10
21,745,77,4,2,857.14,2024-10-29 23:45:04
22,918,103,2,2,648.6,2025-07-06 13:38:43
23,871,90,2,2,275.38,2024-12-15 17:02:06
24,143,106,4,1,343.18,2025-08-01 11:22:10
25,872,123,1,2,607.12,2024-11-23 20:06:50
26,73,223,1,2,597.02,2025-01-03 03:06:52
27,716,264,2,4,1641.0,2024-07-28 22:59:55
28,318,84,3,3,284.43,2024-11-29 19:51:33
29,7,84,4,2,189.62,2025-06-22 21:00:10
30,314,22,2,3,684.51,2026-03-04 07:56:45
31,515,127,1,4,1228.6,2024-06-07 19:58:17
32,874,14,3,2,873.4,2025-11-19 11:17:58
33,12,87,4,1,314.26,2025-02-11 16:37:31
34,537,243,2,3,411.54,2026-04-18 00:36:44
35,567,238,4,1,35.45,2024-09-08 19:02:58
36,904,221,5,3,703.11,2026-03-23 23:22:37
37,288,300,2,2,895.16,2026-04-18 15:20:43
38,914,211,5,4,780.48,2024-06-23 23:21:12
39,312,59,3,4,813.52,2025-06-20 22:46:59
40,714,243,3,1,137.18,2025-09-16 18:41:36
41,93,207,1,3,359.04,2025-03-09 19:19:37
42,332,213,2,1,413.97,2025-02-02 13:50:05
43,24,293,4,4,1738.76,2024-08-27 17:41:06
44,364,20,4,4,1478.16,2025-01-09 22:35:28
45,562,177,3,4,1774.24,2025-05-17 18:25:39
46,617,250,5,2,702.0,2024-08-09 01:20:16
47,512,228,2,3,1280.52,2025-01-10 14:45:29
48,418,262,2,3,187.02,2026-03-12 16:24:08
49,371,186,5,4,94.44,2025-11-21 14:44:20
50,643,237,2,4,170.72,2024-09-15 00:53:41
51,21,225,3,2,878.68,2024-09-18 04:42:52
52,520,100,2,4,552.0,2024-12-26 20:33:26
53,526,2,5,1,362.52,2024-09-27 02:34:31
54,934,41,4,1,159.18,2025-04-05 15:10:36
55,623,14,1,4,1746.8,2025-11-22 23:12:20
56,130,231,1,3,144.18,2026-05-06 13:54:13
57,857,28,2,3,607.53,2025-10-05 13:32:48
58,229,261,1,4,1962.76,2025-03-01 15:32:54
59,460,164,5,3,1196.07,2025-05-02 06:24:53
60,303,287,3,2,111.18,2024-08-13 16:09:29
61,707,118,2,1,419.86,2025-04-02 10:36:58
62,778,257,5,4,1639.56,2025-07-09 19:43:06
63,776,171,4,1,349.66,2024-10-02 12:35:47
64,313,64,4,4,1796.92,2025-09-15 06:47:47
65,121,107,5,3,1372.74,2024-08-12 09:08:55
66,997,204,5,1,302.4,2024-10-30 07:25:19
67,497,120,4,4,855.64,2025-04-13 09:17:09
68,156,207,4,3,359.04,2026-04-14 20:15:14
69,957,130,1,3,1102.86,2024-08-19 16:38:45
70,293,20,2,1,369.54,2025-11-30 21:48:19
71,1,119,3,2,389.3,2025-04-12 15:28:00
72,485,245,3,1,330.93,2024-12-10 09:01:39
73,161,179,4,2,34.16,2024-12-15 21:10:59
74,276,181,2,4,1751.92,2026-02-02 23:22:59
75,251,299,2,1,159.42,2025-04-10 04:43:42
76,306,285,1,3,251.01,2026-02-13 17:58:51
77,223,184,3,2,19.4,2026-03-16 23:49:15
78,919,294,4,3,239.31,2024-05-17 02:05:49
79,384,126,5,4,1443.72,2026-01-04 04:28:50
80,336,234,4,3,87.45,2024-08-11 12:52:42
81,8,129,5,4,1909.08,2025-12-28 12:46:36
82,358,5,2,1,359.51,2025-07-31 15:12:54
83,311,119,2,3,583.95,2025-10-02 21:53:31
